timestep,pX,pY,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y
20,1.4,1.9790032896433196,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.020994190739687633,-0.020994190739687633,0.0,0.0,0.0,0.0
21,1.4,1.9780037725620574,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.02199345589066097,-0.02199345589066097,0.0,0.0,0.0,0.0
22,1.4,1.9770043004669722,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.022992664064275564,-0.022992664064275564,0.0,0.0,0.0,0.0
23,1.4,1.9760048753564232,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.02399181326285577,-0.02399181326285577,0.0,0.0,0.0,0.0
24,1.4,1.9750054992286499,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.024990901488869868,-0.024990901488869868,0.0,0.0,0.0,0.0
25,1.4,1.9740061740817678,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.025989926744934052,-0.025989926744934052,0.0,0.0,0.0,0.0
26,1.4,1.9730069019137644,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.026988887033816418,-0.026988887033816418,0.0,0.0,0.0,0.0
27,1.4,1.9720076847224954,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.02798778035844096,-0.02798778035844096,0.0,0.0,0.0,0.0
28,1.4,1.9710085245056805,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.028986604721891567,-0.028986604721891567,0.0,0.0,0.0,0.0
29,1.4,1.9700094232608993,0.0,0.3,0.6,0.8999999999999999,1.2,1.5,1.7999999999999998,2.1,2.4,2.6999999999999997,0.0,0.0,0.0,0.0,-0.029985358127416,-0.029985358127416,0.0,0.0,0.0,0.0
